sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
花蓮,花蓮縣,29,,良好,0.6,0.1,4.3,8.6,9,8,2.5,3.8,1.3,1.3,241,"2023/07/16 06:00:00",0,8.9,11,0,121.599769,23.971306,63
陽明,臺北市,16,,良好,0.4,0.07,16.8,17.2,5,5,1.2,1.7,0.5,4.3,190,"2023/07/16 06:00:00",0,3,5,0,121.529583,25.182722,64
宜蘭,宜蘭縣,12,,良好,1.2,0.11,12.3,13.3,,,3.7,4.3,0.5,1.4,33,"2023/07/16 06:00:00",0.1,,,1,121.746394,24.747917,65
冬山,宜蘭縣,12,,良好,0.3,0.11,9.6,10.1,16,2,3.5,4.5,1,0.7,245,"2023/07/16 06:00:00",0.1,1.7,12,0,121.792928,24.632203,66
三重,新北市,17,,良好,0.3,0.31,8,8.9,4,6,10.2,27.1,16.9,-,-,"2023/07/16 06:00:00",0.3,4.1,8,0,121.493806,25.072611,67
中壢,桃園市,37,,良好,1.3,0.7,3.2,5.3,11,10,11.4,27.8,16.4,0.3,149,"2023/07/16 06:00:00",0.6,11.5,18,1,121.221667,24.953278,68
竹山,南投縣,30,,良好,0.6,0.11,7.5,12.6,24,7,4.3,5.5,1.1,0.8,229,"2023/07/16 06:00:00",0.1,9.1,22,0,120.677306,23.756389,69
永和,新北市,21,,良好,1.1,0.13,15.9,15.5,7,5,2.5,3.4,0.8,2,86,"2023/07/16 06:00:00",0.1,6.5,8,0,121.516306,25.017,70
復興,高雄市,21,,良好,1,0.31,13.3,12.6,,11,9.9,11.8,1.8,1.1,107,"2023/07/16 06:00:00",0.2,6.4,,1,120.312017,22.608711,71
埔里,南投縣,30,,良好,1.1,0.22,5.4,12,25,8,5.2,5.7,0.5,0.7,60,"2023/07/16 06:00:00",0.2,9.1,22,1,120.967903,23.968842,72
馬祖,連江縣,13,,良好,0.2,0.08,16.1,13.8,11,4,2.8,3.2,0.3,2.4,321,"2023/07/16 06:00:00",0,3.9,12,0,119.93149378,26.15188416,75
金門,金門縣,27,,良好,1.4,0.27,12.5,13.8,13,9,5.3,6.3,1,1.1,132,"2023/07/16 06:00:00",0.1,8.2,11,1,118.312256,24.432133,77
馬公,澎湖縣,40,,良好,0.3,0.12,44.5,43.3,21,8,2.5,3.1,0.6,0.2,334,"2023/07/16 06:00:00",0.1,9.3,15,0,119.566158,23.569031,78
關山,臺東縣,6,,良好,0.6,0.07,7.3,6.5,,0,2.3,3,0.7,0.6,266,"2023/07/16 06:00:00",0,1.9,,0,121.161933,23.045083,80
麥寮,雲林縣,46,,良好,1.7,0.24,10.6,19.1,38,20,10,10.6,0.5,1.1,120,"2023/07/16 06:00:00",0.1,14.3,34,2,120.251825,23.753506,83
富貴角,新北市,19,,良好,0.3,0.05,19.7,21.1,,4,0.6,0.6,0,1.5,90,"2023/07/16 06:00:00",0,3.7,,0,121.53656894,25.29681695,84
大城,彰化縣,51,細懸浮微粒,普通,1.5,0.21,9,21.6,53,24,9.3,10.8,1.5,0.3,48,"2023/07/16 06:00:00",0.1,15.5,39,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,48,,良好,1.8,0.19,20.6,22.7,17,13,4.9,5.3,0.3,0.3,94,"2023/07/16 06:00:00",0.1,14.7,20,2,120.56373,23.96117,201
高雄(湖內),高雄市,,,,,,,,,,,,,,,"2023/07/16 06:00:00",,,,,120.24535,22.87985556,202
臺南(麻豆),臺南市,26,,良好,1.7,0.2,14.4,11.5,,10,8,8.8,0.7,0.4,351,"2023/07/16 06:00:00",0.1,7.9,,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,,,,,,,,,,,,,,,"2023/07/16 06:00:00",,,,,120.37722,22.35222,204
桃園(三民),桃園市,17,,良好,0.9,0.26,10.7,12.8,,7,6.9,11.4,4.4,0.4,69,"2023/07/16 06:00:00",0.2,5.2,,2,121.31788148,25.00132736,310
新北(樹林),新北市,22,,良好,0.4,0.17,5.1,5.3,17,6,5.3,8.6,3.3,0.5,116,"2023/07/16 06:00:00",0.1,6.7,16,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,19,,良好,0,0.04,20.7,20.3,,5,0.9,1.6,0.7,6,78,"2023/07/16 06:00:00",0,2,,0,120.651472,22.260899,313
